Index,TestName,SubTestName,SubSubTestName,Low,Upper,Unit,Function,Disable,Input,Output,Timeout,Retries,AdditionalParameters,ExitEarly,SetPoison,FA,Command,Condition,Main_Disable,Production,Audit,Thread,Loop,Sample,CoF,Main_Condition,
1,Fixture,LED_INPROGRESS_ON,LED,,,,Tech:sendLedCommand,,,,,,"{""subsubtestname"":""LED"";""record"":""NO""}",,,,"led_progress_on",,,Y,,,,,,
2,Fixture,Channel,ID,4,1,,Tech:getSlotID,,,[station_id],,,"{""subsubtestname"":""ID""}",,,,,,,Y,,,,,,
3,Fixture,HardwareCheck,VendorID,2,1,,Tech:getVendorID,,,,,,"{""subsubtestname"":""VendorID""}",,,,,,,Y,,,,,,
4,Fixture,HardwareCheck,Station,,,,Tech:getStationName,,,,,,"{""subsubtestname"":""Station"";""record"":""NO""}",,,,,,,Y,,,,,,
5,Fixture,GeneralAction,Reset_Initial,,,,Tech:resetXavier,,,,,,"{""subsubtestname"":""Reset_Initial"";""record"":""NO"";""fa_sof"":""YES""}",,,FA_ResetAll,,,,Y,,,,,,
6,Fixture,HardwareCheck_1,UUT_Presence,,,,Tech:checkDUT,,,,,,"{""subsubtestname"":""UUT_Presence"";""netname"":""DUT_DTETECT"";""record"":""NO"";""fa_sof"":""YES""}",,,FA_ResetAll,,,,Y,,,,,,Y
7,Fixture,HardwareCheck_1,FixtureSN,,,,Tech:checkSlotSN,,[station_id],,,,"{""subsubtestname"":""FixtureSN"";""attribute"":""FIXTURE_SN""}",,,,,,,Y,,,,,,Y
8,Fixture,HardwareCheck_1,FixtureSanitySN,,,,Tech:check_fixture_sn,,,,,,"{""subsubtestname"":""FixtureSanitySN"";""record"":""NO""}",,,,,,,Y,,,,,,Y
9,Fixture,HardwareCheck_1,VDM_SN,,,,Tech:readMIXModuleSN,,,,,,"{""subsubtestname"":""VDM_SN"";""attribute"":""VDM-002""}",,,,"vdm_read_serial_number",,,Y,,,,,,Y
10,Fixture,HardwareCheck_1,EloadSN,,,,Tech:readMIXModuleSN,,,,,,"{""subsubtestname"":""EloadSN"";""attribute"":""EL-004""}",,,,"eload_read_serial_number",,,Y,,,,,,Y
11,Fixture,HardwareCheck_1,Eload_Check,,,,Tech:checkEloadVersion,,,,,,"{""subsubtestname"":""Eload_Check"";""pattern"":""(%w+)"";""fa_sof"":""YES""}",,,FA_ResetAll,"eload004.eeprom_read_string(21*3)",,,Y,,,,,,Y
12,Fixture,HardwareCheck_1,ScopeSN,,,,Tech:readMIXModuleSN,,,,,,"{""subsubtestname"":""ScopeSN"";""attribute"":""Scope-007""}",,,,"scope_read_serial_number",,,Y,,,,,,Y
13,Fixture,HardwareCheck_1,OAB3_SN,,,,Tech:readMIXModuleSN,,,,,,"{""subsubtestname"":""OAB3_SN"";""attribute"":""OAB3-001""}",,,,"oab3_read_serial_number",,,Y,,,,,,Y
14,Fixture,SoftwareCheck_1,XavierFW,,,,Tech:readMIXVersion,,,,,,"{""subsubtestname"":""XavierFW"";""attribute"":""Xavier_FW_Version"";""record"":""NO""}",,,,,,,Y,,,,,,
15,Fixture,HardwareCheck_2,XavierIP,,,,Tech:checkMIXIP,,,,,,"{""subsubtestname"":""XavierIP"";""attribute"":""Xavier_IP"";""record"":""NO""}",,,,,,,Y,,,,,,
16,Power,Discharge_Initial,PPVBUS_USB_EMI_DISCHARGE_CONNECT,,,,Common:relaySwitch,,,,,,"{""subsubtestname"":""PPVBUS_USB_EMI_DISCHARGE_CONNECT"";""netname"":""PPVBUS_USB_EMI_DISCHARGE"";""state"":""CONNECT"";""record"":""NO""}",,,,,,,Y,,,,,,
17,Power,Discharge_Initial,PPBATT_VCC_DISCHARGE_CONNECT,,,,Common:relaySwitch,,,,,,"{""subsubtestname"":""PPBATT_VCC_DISCHARGE_CONNECT"";""netname"":""PPBATT_VCC_DISCHARGE"";""state"":""CONNECT"";""record"":""NO""}",,,,,,,Y,,,,,,
18,Power,Discharge_Initial,PPVCC_MAIN_DISCHARGE_CONNECT,,,,Common:relaySwitch,,,,,,"{""subsubtestname"":""PPVCC_MAIN_DISCHARGE_CONNECT"";""netname"":""PPVCC_MAIN_DISCHARGE"";""state"":""CONNECT"";""record"":""NO""}",,,,,,,Y,,,,,,
19,Power,Discharge_Initial,PPVCC_HIGH_DISCHARGE_CONNECT,,,,Common:relaySwitch,,,,,,"{""subsubtestname"":""PPVCC_HIGH_DISCHARGE_CONNECT"";""netname"":""PPVCC_HIGH_DISCHARGE"";""state"":""CONNECT"";""record"":""NO""}",,,,,,,Y,,,,,,
20,Power,Discharge_Initial,SPK_BST_Discharge,,,,Common:relaySwitch,,,,,,"{""subsubtestname"":""SPK_BST_Discharge"";""netname"":""PPV_BST_AUDIO_DISCHARGE"";""state"":""CONNECT"";""record"":""NO""}",,,,,,,Y,,,,,,
21,Power,Discharge_Initial,DELAY_1000MS_After_Connect_Discharge,,,,Common:delay,,,,,,"{""subsubtestname"":""DELAY_1000MS_After_Connect_Discharge"";""delay"":""1000"";""record"":""NO""}",,,,,,,Y,,,,,,
